SizeRank,County,Year,Value
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145386.55321138212
178,Orleans Parish,2000,120772.45479674796
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145379.03837398373
178,Orleans Parish,2000,120897.20109756097
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145180.64666666667
178,Orleans Parish,2000,121242.88361788617
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145392.56508130083
178,Orleans Parish,2000,121765.916300813
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
